(148.681,-251.88) (264.439,132.144)
(384.461,143.101) (-148.681,251.88)
(-178.406,-76.7776)  (64.9907,-250.072)
 (12.5181,-184.228)   (178.406,76.7776)
 (-112.355,217.165) (-237.059,-184.167)
 (-360.838,-152.95)  (112.355,-217.165)
(-222.539,-32.5789)  (41.1908,-310.703)
(-9.26398,-177.466)   (222.539,32.5789)
(-279.028,-196.495)   (147.623,31.4564)
 (104.441,-250.079)   (279.028,196.495)
  (2.27982,54.4556) (-71.3299,-133.848)
(-127.194,-70.8221) (-2.27982,-54.4556)
  (-209.92,128.633) (-82.8531,-105.451)
(-95.0599,-36.7563)   (209.92,-128.633)
 (-37.5357,97.432) (-73.6976,-368.67)
(-124.06,-59.9059)  (37.5357,-97.432)
   (34.158,97.4764) (-63.6004,-156.135)
 (-61.5704,54.6657)  (-34.158,-97.4764)
(0.500635,-0.733049) (0.145086,-0.217646)
 (0.293142,0.534375) (-0.500635,0.733049)
(-0.71468,-0.378124) (0.272019,-0.375212)
(0.166855,-0.180207)   (0.71468,0.378124)
 (-0.419356,0.412846)  (0.0835326,0.211506)
(-0.0624226,-0.60958)  (0.419356,-0.412846)
 (-0.865048,-0.19148)  (0.254348,-0.577833)
(0.135102,-0.0381601)    (0.865048,0.19148)
(-0.949742,-0.0627505) (-0.432979,-0.0404257)
 (-0.532429,-0.266576)   (0.949742,0.0627505)
(-0.0557492,-0.196822)   (0.304379,0.0958541)
  (0.247957,-0.345997)   (0.0557492,0.196822)
 (-0.674235,0.819375) (-0.356665,-0.470571)
 (-0.427073,0.309397)  (0.674235,-0.819375)
(-0.263212,-0.299432)  (0.656847,-0.439022)
(0.577069,-0.0816058)   (0.263212,0.299432)
  (0.0744748,0.0187482)    (0.302709,-0.272483)
    (0.299935,0.162024) (-0.0744748,-0.0187482)
